text,text_summary
"s 
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 1 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
Author: C.Schultheiss 
Dept.: M TEC W 
 
Product group: HV 
Assembly: Coil 
Longitudinal winding > 690 V  to  ≤ 6,6 kV 
Technology:  Looping, bonding, 
spreading, insulating 
First edition: 25.01.1989 
Issue date 12.12.2017 
Change index: AE 
 
Basis rules of this Manufacturing Instruction: 
 
 
The relevant drawings and parts lists and any other working documents that form an inherent part of the order 
are always binding. Every item in this manufacturing instruction is covered in the drawing or parts lists of stator 
coils. Pay attention that not every listed Item is needed for every order. Consult the parts lists concerning which 
Items are needed. 
 
Any changes to the manufacturing instructions in respect of materials and their Item Nos. will only be made if 
they are deemed necessary on account of the manufacturing process. 
 
The safety aspects of this manufacturing instruction must be pointed out to the employee by the department in 
the form of a suitable instruction. 
 
 
 
 
Distribution: Teamcenter 
Approved by: Teamcenter 
 
FA_30337/AE/006 Released 2018-02-01
","Here is a concise summary of the text:

""Manufacturing Instruction for high voltage coils in VPI design, Longitudinal winding 690V-6.6kV. Includes technical specifications, assembly process, and safety guidelines. Revised in 2017, approved by Teamcenter."""
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 2 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
Insulation machine MI 171*
Insulation machine MI 155*
Loop coil
Bond coil
Spread coil
Insulate coil
FA 30337
FA 30373
FA 30371
FA 30377
Coil spreader Schuemann*
FA 30373
Insulation machine Ridgway*
 
* valid in 
Nürnberg 
Insulation machine 171/261* 
FA_30337/AE/006 Released 2018-02-01
","Manufacturing instruction for high voltage coils in VPI design, including insulation machines MI 171, MI 155, and coil types such as loop, bond, and spread coils."
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 3 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
Table of contents 
1 
General .......................................................................................................................................... 5 
2 
Coil looping................................................................................................................................... 5 
2.1 
General information (looping) ......................................................................................... 5 
2.2 
Looping machine setups ................................................................................................. 6 
2.3 
Setup wire supply ........................................................................................................... 7 
2.4 
Nose and corner shims / corset and longitudinal strips .................................................. 7 
2.5 
Looping longitudinal winding .......................................................................................... 7 
3 
Bond the coil sides .................................................................................................................... 10 
3.1 
General information bonding ........................................................................................ 10 
3.2 
Coil press setup ............................................................................................................ 11 
3.3 
Bond coil sides .............................................................................................................. 12 
4 
Coil spreading ............................................................................................................................ 14 
4.1 
Spreading general ........................................................................................................ 14 
4.2 
Hydraulic coil spreading machine 2015 company Schümann ...................................... 14 
4.3 
Hydraulic coil spreading machine Inv.-Nos. 603408 .................................................... 14 
5 
Sleeving insulation of connection ends (≤ 6,6 kV) ................................................................. 17 
5.1 
General sleeving insulation of connection end ............................................................. 17 
5.2 
Insulation length at connection ends ............................................................................ 18 
5.3 
Course of coil connection insulation ............................................................................. 20 
6 
Mechanical coil insulation......................................................................................................... 21 
6.1 
Mechanical insulation in general .................................................................................. 21 
6.2 
Insulation using the insulation machine Mi155 ............................................................. 24 
6.3 
Insulation using the insulation machine Mi171 or Mi261 .............................................. 24 
6.4 
Pressure control measure............................................................................................. 24 
6.5 
Front end insulation ...................................................................................................... 24 
7 
Coil insulation by hand .............................................................................................................. 25 
7.1 
Hand insulation in general ............................................................................................ 25 
7.2 
Insulation connection end ............................................................................................. 26 
7.3 
Slot and non-connection end insulation........................................................................ 27 
FA_30337/AE/006 Released 2018-02-01
","Manufacturing Instruction for high voltage coils in VPI design. The document provides instructions for making and insulating coils, including looping, bonding, spreading, and sleeving insulation. It covers general information, setup procedures, and specific machine instructions for various coil insulation methods."
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 4 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
7.4 
Pressure control measure............................................................................................. 27 
8 
Affix the corona tape (AGS) ...................................................................................................... 28 
9 
Affix the overhang protective tape ........................................................................................... 30 
10 
Insulation quality ........................................................................................................................ 31 
11 
Handling of damaged coils ....................................................................................................... 32 
 
FA_30337/AE/006 Released 2018-02-01
","Here is a concise summary of the text optimized for retrieval:

""Manufacturing instructions for high voltage coils in VPI design, including pressure control measures, corona tape application, overhang protective tape, insulation quality, and handling of damaged coils."""
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 5 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
1 
General 
 
In order to prevent impurities (iron filings, dust etc.) from being dragged into the clean room, plastic 
wraps must be removed from the transport pallet before the copper reels are transported there. In 
addition, the packaging must be removed from the individual reels. 
 
The packaging materials must be disposed of outside the clean room. If copper reels are 
transferred back from the clean room, they must be packed in dust-tight plastic wrap again before 
being placed in storage. 
 
Cleanliness is essential at all workplaces inside the clean room. The manufacturing area HV-Coil 
production has to meet the requirements of TU- I060. 
 
Accompanying manufacturing tests have to be done and documented according to Test-plan 
QE1L001 (A5E00420496A). 
 
If damage to the insulation of the individual strands is ascertained during the production process, 
the damaged must be insulated (see also paragraph 12). 
2 
Coil looping 
Equipment:    Looping machine, balance shear (Inventory-Number: 44206522 / 44206859 / 
44203065 / 44203069), 
 
Tools: 
Former with indicator, assorted bending irons, paint tongs (scraper),  
dispenser for adhesive tape, rule, micrometer, mallet,  
bolt cutter, cloth shears, lifting gear, wrenches etc. 
2.1 
General information (looping) 
 
Use the Hand guiding unit for more than 2 parallel conductors.  
 
Prevent any contamination through chips, grease, moisture and other dirt, while the coils are 
stored or transported. 
 
Use the double table wagon for transportation. 
 If damage to the insulation of the individual strands is ascertained during the production process, 
the damaged must be insulated (see also paragraph 12). 
FA_30337/AE/006 Released 2018-02-01
","Here is a concise summary of the text:

Manufacturing instructions for high-voltage coils in VPI design. Pre-production steps include removing plastic wraps from transport pallets and individual reels, and disposing of packaging materials outside the clean room. Cleanliness is essential in the clean room, and accompanying manufacturing tests must be done and documented. Coil looping requires specific equipment and tools, and general guidelines include using a hand guiding unit for parallel conductors, preventing contamination, and using a double table wagon for transportation."
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 6 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
2.2 
Looping machine setups 
2.2.1 Setup longitudinal winding 
 Adjust and fix looping bars according the information given by the corresponding drawing /parts list 
(loop length LE).  
 Mount looping pins according to the corresponding drawing/ parts lists (pin diameter DW).  
 Adjust width between looping templates according to side width. Adjust measure blocks according 
to the coil’s straight side length LRU and LRO (dimension according to coil drawing/ parts lists). 
Pay attention to the alignment of the coil center (figure 1). 
 
 
figure 1 
 
2.2.2 Setup plus-/minus coils 
Setup plus coils: 
According to 2.2.1 
 
Setup minus coils: 
Adjust (extend) setup measure for minus coils according to the following formula: 
LE(minus coils)= LE +2 x insulated flat wire height  x number of parallel conductors 
Measure block position 
FA_30337/AE/006 Released 2018-02-01
","Here is a concise summary of the text:

""Manufacturing instruction for high voltage coils in VPI design. Looping machine setup instructions include adjusting and fixing looping bars, mounting looping pins, and adjusting width between templates. Plus and minus coils require setup according to specific formulas and measurements."""
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 7 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
2.3 
Setup wire supply 
 Chose wire types according to parts lists. 
 The number of coils to setup depends on the number of parallel conductors according to TRA.  
 Mount coils into supply frames. 
 Adjust the breaking system that the wire is taut throughout the looping process. Take care, that the 
wire is taut during the looping process. Readjust if necessary. 
2.4 
Nose and corner shims / corset and longitudinal strips 
 Before the looping process following insulation and reinforcing material have to be cut to size 
according to stator coil drawings / parts lists: 
 
- 
Nose shims: In general for one wire in slot side size; item 22 
- 
Corner shims: Models with 2 poles and more than one parallel wire; item 29 
- 
Corset: Models with one wire; item 23 
- 
Longitudinal strips: Models with two wires in slot side size; item 24/25 
 
 Insulation and reinforcing material, size and number, according to stator coil drawing / parts lists. 
- 
Exception: Nose shims width = flat wire width + 2 mm 
2.5 
Looping longitudinal winding 
 Set the looping counter to zero. 
 Fix all necessary wires with the clamping device to the looping template. 
 One wire in slot side width: First meander needs to be insulated (item 21) in the area of winding 
radii. Nose shims (item 22) have to be used between the first and second conductor. 
 Loop the first two windings with relaxed lead clamp; tighten it afterwards to stretch the first winding. 
 
 
 
 
 
 
 
FA_30337/AE/006 Released 2018-02-01
","Manufacturing Instruction: Making and insulating high voltage coils in VPI design. Setup wire supply: choose wire types, mount coils, adjust breaking system. Nose and corner shims/corset and longitudinal strips: cut to size, adjust insulation and reinforcing material. Looping longitudinal winding: set looping counter, fix wires, meander insulation, use nose shims, loop and tighten."
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 8 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
Longitudinal 
intermediate 
strip 
 Loop the following windings, number of loops according to Stator coil drawing / parts lists / TRA. 
 If large copper diameters are in use, it can be necessary to knock the nose ending down (up- and 
downsides).  
 Fit a Longitudinal strip (item 24/25) between two parallel conductors for the following hardening 
process. 
 Use the corset-hardening for windings with only one conductor (Item 23). Affix hardening tape 
spaciously around the conductor between the penultimate and last wire. Use the tape before the 
last layer of wire gets looped (figure 2, left side). 
 
 
 
 
 
 
 
 
figure 2 
 
 
 Windings with two poles and two parallel conductors in slot side width have to be reinforced at the 
four winding radii with corner shims (item 29). Put them between the wire layers which lay side by 
side. The corner shims should end with the straight coil side. 
 Use duct tape on all four ends of the straight coil side. Wrap the tape 1 ½ times around the wire 
bundle. The inner edge has to encircle the length of the straight coil side (item 59; figure 2, left 
side). If corner shims were used, fix them through this process. 
 Additional tape bindings should be added: 
o 
Add in the area of the coil side, subject to coil side length LRO/LRU, tape bindings in 
according to the table 1. The bindings have to dispense equal on the coil side. 
 
 
 
 
 
 
 
 
 
Length of straight section 
of coil side 
Bonding corset 
Strands 
FA_30337/AE/006 Released 2018-02-01
","Manufacturing instruction for high voltage coils in VPI design. Steps include looping windings, fitting longitudinal strips, and applying corset-hardening and tape bindings."
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 9 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
Table 1: 
 
 
 
 
 
- 
One binding should be affixed in the center of the coil end length, at all 2-pole windings, on the 
top and bottom layers of the connection end and non-connection end. For all 2-pole windings 
as well as for 4-pole windings with a mean coil end length > 1000 mm two binding have to be 
used at the center of the coil end on the top and bottom layers of the connection end and non-
connection end.  
 
 Binding coils: Consult table 2, variant 1 for Number and type of bindings 
Table 2:  
variant 
material 
condition 
Design 
1 
Binding wire 
Longitudinal  
wiring 
 
 
 Fix the insulation with duct tape. Pay attention that no tape is longer than the coil nose, affixe only 
to short Coil ends (figure 3): 
 
 
figure 3 
 
 
Coil side length [mm] 
Number of additional laps 
≤ 600 
1  
> 600 
2  
FA_30337/AE/006 Released 2018-02-01
","Manufacturing Instruction: Making and insulating high voltage coils in VPI design. Table 1 specifies binding requirements: one binding at center of coil end length on top and bottom layers for 2-pole windings, two bindings for 2-pole windings with mean coil end length > 1000 mm. Table 2 provides binding wire type and condition. Insulation is fixed with duct tape, avoiding long tape on coil nose."
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 10 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
 Cut coil ends to length according to coil drawings / parts lists (item A1 – A20 and E1 – E20) 
 Remove the conductor insulation from the lead end with paint tongs (scraper).  
 Relieve the tension on the lead clamp cam, remove the coil  
3 
Bond the coil sides 
Equipment:     
Storey presses (Inv. Nos. 603196 / 603197), 
clamping spacers, separating spacers, intermediate spacers with a burnt-in 
interface, 1.5 mm sheet steel partitions with a burnt-in interface, 
reel holder for separating sheet with cutting machine 
 
 
Tools: 
Assorted wrenches 
 
Utensils:  
Separating sheet, talcum powder 
3.1 
General information bonding 
 The presses, separating sheets and spacers have to be clean (free of scabs) glue leftovers are i.o.. 
 Any damage to conductor insulation hast to be repaired (see part 12). 
 Straight coil sides longer than 1000 mm must be bonded in two runs! 
After the first hardening process move the coil so far that the unbonded part is in the bonding area. 
FA_30337/AE/006 Released 2018-02-01
","Manufacturing Instruction: Making high voltage coils in VPI design. Cut coil ends to length, remove conductor insulation, relieve tension on lead clamp cam. Bond coil sides using storey presses, clamping spacers, separating spacers, and utensils. Ensure cleanliness and repair any damage to conductor insulation."
